ID,region,interview_date,household_size,dwelling_type,bedrooms,central_heating,cars,community_establlishment,religion
72,Northern Ireland,2011-04-26T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,NULL,NULL,Other hospital,NULL
76,Northern Ireland,2011-04-26T00:00:00Z,2,Whole house or bungalow - semi-detached,4,NULL,NULL,Care home - without nursing; Children home; Other,NULL
73,West Midlands,2011-04-26T00:00:00Z,1,Whole house or bungalow - terraced,2,yes,1,Other,Not stated
89,East,2011-04-27T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,yes,0,General hospital; Care home - with nursing; Care home - without nuring; Other,Christian
85,London,2011-04-27T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",1,yes,0,Mental health hospital; Care home - without nursing; Other,Christian
101,Scotland,2011-04-27T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,NULL,NULL,Care home - without nursing; Children home; Other,NULL
83,South East,2011-04-27T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,yes,1,General hospital; Care home - with nursing; Care home - without nuring; Other,Christian
80,East Midlands,2011-04-28T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",1,no,0,Care home - with nursing; Care home - without nuring; Other,Christian
102,East Midlands,2011-04-28T00:00:00Z,1,Whole house or bungalow - terraced,3,yes,0,Other,Not stated
78,Scotland,2011-04-28T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,NULL,NULL,Other,NULL
105,Scotland,2011-04-28T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,NULL,NULL,Mental health hospital; Care home - without nursing; Other,NULL
104,South West,2011-04-28T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",2,yes,0,Care home - with nursing; Care home - without nuring; Other,Christian
106,North West,2011-04-30T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",1,yes,0,General hospital; Care home - with nursing; Care home - without nuring; Other,Christian
109,London,2011-05-03T00:00:00Z,1,Whole house or bungalow - semi-detached,3,yes,1,Care home - with nursing; Care home - without nuring; Other,Muslim
113,South East,2011-05-03T00:00:00Z,1,Whole house or bungalow - semi-detached,5,yes,1,Care home - without nursing; Children home; Other,No religion
110,West Midlands,2011-05-03T00:00:00Z,1,Whole house or bungalow - semi-detached,5,yes,0,Care home - with nursing; Care home - without nuring; Other,No religion
125,London,2011-05-04T00:00:00Z,1,Whole house or bungalow - terraced,3,yes,1,Care home - without nursing; Children home; Other,No religion
118,South East,2011-05-04T00:00:00Z,1,Whole house or bungalow - terraced,3,yes,0,Mental health hospital; Care home - without nursing; Other,No religion
119,South East,2011-05-04T00:00:00Z,1,Whole house or bungalow - terraced,3,yes,1,Care home - with nursing; Care home - without nuring; Other,No religion
117,London,2011-05-11T00:00:00Z,1,Whole house or bungalow - terraced,4,yes,1,General hospital; Care home - with nursing; Care home - without nuring; Other,Not stated
108,North West,2011-05-11T00:00:00Z,1,"Flat, maisonette or apartment - purpose-built block of flats or tenement",3,no,0,Social landlord,Christian
116,South East,2011-05-11T00:00:00Z,1,Whole house or bungalow - terraced,4,yes,1,Other,Not stated
